"","Source","Original_source","Core","Habitat_type","Country","State","Year_collected","Latitude","Longitude","accuracy_flag","accuracy_code","U_depth_m","L_depth_m","OC_perc","SOM_perc","BD_reported_g_cm3"
"1","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0,0.02,0.724,19.901865631403,0.298011784371046
"2","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0.1,0.1,NA,NA,NA
"3","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0.1,0.12,1.305,6.17416999826178,0.891970256300549
"4","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0.12,0.14,1.116,5.72739413259812,0.937964446166287
"5","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0.14,0.16,1.286,6.13051746571914,0.924910760809637
"6","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0.16,0.18,1.173,6.14059744972275,0.957786533690808
"7","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0.18,0.2,1.164,5.72365288105792,0.759961942314069
"8","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0.02,0.04,5.362,15.5784694702012,0.479667678150126
"9","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0.2,0.22,0.759,4.61785378272178,1.12462993641811
"10","CCRCN","Abbott et al 2019","1983-1","marsh","United States","Louisiana",2015,29.9186660755556,-93.3470854980555,"direct from dataset","1",0.22,0.24,0.7579,4.51688619037456,1.18486350560553
